form	lemma	POS	morph
ཀ་	ཀ་	DET
གསུངས་པ་	གསུངས་པ་	VERB
འི་	གི་	PART
ཡི་དམ་	ཡི་དམ་	NOUN
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
རིན་ཆེན་	རིན་ཆེན་	OTHER
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ཏཱ་ར་	ཏཱ་ར་	PROPN
ནཱ་	ནཱ་	NO_POS
ཐ་	ཐ་	NOUN
ས་	གིས་	PART
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
ནང་	ནང་	NOUN
		
		
སྒྲུབས་	སྒྲུབས་	VERB
ཐབས་	ཐབས་	NOUN
བརྒྱ་རྩ་	བརྒྱ་རྩ་	OTHER
འི་	གི་	PART
ལག་ལེན་	ལག་ལེན་	NOUN
གསལ་བྱེད་	གསལ་བྱེད་	NOUN
ཅེས་	ཅེས་	PART
བྱ་	བྱ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
མཛད་པ་པོ་	མཛད་པ་པོ་	VERB
མི་	མི་	PART
གསལ་	གསལ་	VERB
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
ཕུང་	ཕུང་	VERB
ཁམས་	ཁམས་	NOUN
སྐྱེ་མཆེད་	སྐྱེ་མཆེད་	NOUN
ཀྱི་	གི་	PART
རྣམ་གཞག་	རྣམ་གཞག་	NOUN
ཇི་སྙེད་	ཇི་སྙེད་	OTHER
ཤེས་བྱ་	ཤེས་བྱ་	VERB
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
འབྱེད་	འབྱེད་	VERB
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
གོ་	གོ་	PART
རམས་པ་	རམས་པ་	NO_POS
བསོད་ནམས་	བསོད་ནམས་	NOUN
སེང་གེ་	སེང་གེ་	NOUN
ས་	གིས་	PART
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
རི་ཁྲོད་	རི་ཁྲོད་	NOUN
ལོ་མ་	ལོ་མ་	NOUN
གྱོན་	གྱོན་	NO_POS
མ་	མ་	PART
རིགས་གསུམ་	རིགས་གསུམ་	OTHER
ལ་	ལ་	PART
བརྟན་པ་	བརྟན་པ་	VERB
འི་	གི་	PART
ཞི་བ་	ཞི་བ་	VERB
འི་	གི་	PART
སྦྱིན་	སྦྱིན་	VERB
བསྲེག་	བསྲེག་	VERB
གི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
རབ་དཀར་	རབ་དཀར་	OTHER
ཟླ་	ཟླ་	NOUN
ཞུན་	ཞུན་	NO_POS
གས་	གསའ་	NO_POS
ར་བ་	ར་བ་	PART
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
སྤང་	སྤང་	VERB
ལུང་	ལུང་	NOUN
བློ་བཟང་	བློ་བཟང་	PROPN
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
ཡུམ་	ཡུམ་	NOUN
གཅིག་	གཅིག་	NUM
དབྱངས་ཅན་	དབྱངས་ཅན་	PROPN
ལྷ་མོ་	ལྷ་མོ་	NOUN
དྲག་	དྲག་	VERB
མོའིགཟུགས་		NON_WORD
ཅན་	ཅན་	PART
དཔལ་ལྡན་	དཔལ་ལྡན་	ADJ
དམག་ཟོར་	དམག་ཟོར་	PROPN
རྒྱལ་མོ་	རྒྱལ་མོ་	OTHER
ལ་	ལ་	PART
བརྟེན་པ་	བརྟེན་པ་	VERB
འི་	གི་	PART
ཞི་བ་	ཞི་བ་	VERB
འི་	གི་	PART
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
གི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
གདུང་བ་	གདུང་བ་	VERB
ཀུན་	ཀུན་	DET
སེལ་	སེལ་	VERB
ཟླ་བ་	ཟླ་བ་	NOUN
འི་	གི་	PART
འོད་ཟེར་	འོད་ཟེར་	NOUN
།		PUNCT
སྤང་	སྤང་	VERB
ལུང་	ལུང་	NOUN
བློ་བཟང་	བློ་བཟང་	PROPN
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
གསང་འདུས་	གསང་འདུས་	PROPN
འཕགས་	འཕགས་	VERB
སྐོར་	སྐོར་	NOUN
ལས་རིམ་	ལས་རིམ་	OTHER
ལྔ་	ལྔ་	NUM
འགོ་	འགོ་	PROPN
ལུགས་	ལུགས་	NOUN
ཀྱི་	གི་	PART
ཁྲིད་ཡིག་	ཁྲིད་ཡིག་	NOUN
རྒྱུད་	རྒྱུད་	NOUN
དོན་	དོན་	NOUN
གསལ་བ་	གསལ་བ་	VERB
།		PUNCT
ཇོ་	ཇོ་	NO_POS
ནང་	ནང་	NOUN
ཏཱ་ར་	ཏཱ་ར་	PROPN
ནཱ་	ནཱ་	NO_POS
ཐ་	ཐ་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
༑		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
ཟབ་མོ་	ཟབ་མོ་	ADJ
དབུ་མ་	དབུ་མ་	PROPN
འི་	གི་	PART
ལྟ་	ལྟ་	NOUN
ཁྲིད་	ཁྲིད་	VERB
ཀྱི་	གི་	PART
ཟིན་བྲིས་	ཟིན་བྲིས་	OTHER
ཆོས་ལྡན་	ཆོས་ལྡན་	PROPN
རབ་འབྱམས་	རབ་འབྱམས་	ADJ
གྱིས་	གིས་	PART
མཛད་པ་	མཛད་པ་	VERB
བཞུགས་པ་	བཞུགས་པ་	VERB
འི་	གི་	PART
དབུ་	དབུ་	NOUN
ཕྱོགས་	ཕྱོགས་	NOUN
ལགས་སོ་	ལགས་སོ་	NO_POS
།		PUNCT
ཆོས་ལྡན་	ཆོས་ལྡན་	PROPN
རབ་འབྱམས་པ་	རབ་འབྱམས་པ་	ADJ
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
དཔལ་	དཔལ་	OTHER
རྟ་མགྲིན་	རྟ་མགྲིན་	PROPN
ཡང་གསང་	ཡང་གསང་	OTHER
གི་	གི་	PART
ཉམས་ལེན་	ཉམས་ལེན་	NOUN
ཟབ་	ཟབ་	VERB
གནས་	གནས་	NOUN
ཀྱི་	གི་	PART
སྨོན་ལམ་	སྨོན་ལམ་	NOUN
གྱི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
འཁོན་	འཁོན་	VERB
སྟོན་	སྟོན་	VERB
དཔལ་འབྱོར་	དཔལ་འབྱོར་	OTHER
ལྷུན་གྲུབ་	ལྷུན་གྲུབ་	OTHER
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
དུས་འཁོར་	དུས་འཁོར་	PROPN
ཊཱིཀ་		NON_WORD
ཆེན་	ཆེན་	NO_POS
ལ་	ལ་	ADP
ས་	གིས་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
ལེའུ་	ལེའུ་	NOUN
འི་	གི་	PART
འགྲེལ་བཤད་	འགྲེལ་བཤད་	NOUN
བློ་གྲོས་	བློ་གྲོས་	NOUN
ཆོ་	ཆོ་	OTHER
སྐྱོང་	སྐྱོང་	VERB
གིས་	གིས་	PART
མཛད་པ་	མཛད་པ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
གཡག་སྡེ་	གཡག་སྡེ་	PROPN
བློ་གྲོས་	བློ་གྲོས་	NOUN
ཆོས་སྐྱོང་	ཆོས་སྐྱོང་	NOUN
།		PUNCT
དྲུང་	དྲུང་	NOUN
བློ་གྲོས་	བློ་གྲོས་	NOUN
ཆོས་སྐྱོང་	ཆོས་སྐྱོང་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
རྒྱལ་ཁམས་པ་	རྒྱལ་ཁམས་པ་	NOUN
ཏཱ་ར་	ཏཱ་ར་	PROPN
ནཱ་	ནཱ་	NO_POS
ཐ་	ཐ་	NOUN
ས་	གིས་	PART
བདག་ཉིད་	བདག་ཉིད་	NOUN
ཀྱི་	གི་	PART
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
ངེས་པ་		
བརྗོད་པ་	བརྗོད་པ་	VERB
འི་	གི་	PART
དེབ་གཏེར་	དེབ་གཏེར་	OTHER
ཤིན་ཏུ་	ཤིན་ཏུ་	NO_POS
ཞིབ་མོ་	ཞིབ་མོ་	ADJ
མ་	མ་	PART
བཅོ་	བཅོ་	NUM
ས་	གིས་	PART
ལྷུག་པ་	ལྷུག་པ་	NO_POS
འི་	གི་	PART
རྟོགས་བརྗོད་	རྟོགས་བརྗོད་	NOUN
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
དགེ་ལེགས་	དགེ་ལེགས་	OTHER
འཕེལ་	འཕེལ་	VERB
།		PUNCT
ཇོ་	ཇོ་	NO_POS
ནང་	ནང་	NOUN
ཏཱ་ར་	ཏཱ་ར་	PROPN
ནཱ་	ནཱ་	NO_POS
ཐ་	ཐ་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
ཐེག་པ་	ཐེག་པ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
བློ་སྦྱོང་	བློ་སྦྱོང་	OTHER
གཞན་དོན་	གཞན་དོན་	NOUN
དོན་གཉེར་	དོན་གཉེར་	NOUN
གྱི་	གི་	PART
གདམས་པ་	གདམས་པ་	VERB
འི་	གི་	PART
རྩ་བ་	རྩ་བ་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
བློ་གྲོས་	བློ་གྲོས་	NOUN
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
ཐེག་པ་	ཐེག་པ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
བློ་སྦྱོང་	བློ་སྦྱོང་	OTHER
གཞན་དོན་	གཞན་དོན་	NOUN
གཉེར་	གཉེར་	VERB
གྱི་	གི་	PART
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
ཐེག་ཆེན་	ཐེག་ཆེན་	NOUN
རབ་གསལ་	རབ་གསལ་	PROPN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
བློ་གྲོས་	བློ་གྲོས་	NOUN
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
གླང་	གླང་	NOUN
རི་ཐང་པ་	རི་ཐང་པ་	NO_POS
འི་	གི་	PART
བློ་སྦྱོང་	བློ་སྦྱོང་	OTHER
ཚིག་	ཚིག་	NOUN
བརྒྱད་	བརྒྱད་	NUM
མ་	མ་	PART
སྨོན་ལམ་	སྨོན་ལམ་	NOUN
དུ་	ལ་	PART
བྱས་པ་	བྱས་པ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
བློ་གྲོས་	བློ་གྲོས་	NOUN
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
བླ་མ་	བླ་མ་	NOUN
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
བསྟོད་པ་	བསྟོད་པ་	VERB
དང་	དང་	NO_POS
བཀའ་ཤོག་	བཀའ་ཤོག་	NOUN
འཕྲིན་ཡིག་	འཕྲིན་ཡིག་	NOUN
གི་	གི་	PART
སྐོར་	སྐོར་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
བློ་གྲོས་	བློ་གྲོས་	NOUN
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
བཅོམ་ལྡན་འདས་	བཅོམ་ལྡན་འདས་	NOUN
ལ་	ལ་	PART
བསྟོད་པ་	བསྟོད་པ་	VERB
ཟབ་མོ་	ཟབ་མོ་	ADJ
སྤྲོས་མེད་	སྤྲོས་མེད་	NOUN
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
བློ་གྲོས་	བློ་གྲོས་	NOUN
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
འཕགས་པ་	འཕགས་པ་	VERB
འི་	གི་	PART
ཡུལ་	ཡུལ་	NOUN
དུ་	ལ་	PART
ཇི་ལྟ་		
དར་བ་	དར་བ་	VERB
འི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
གསལ་བ་	གསལ་བ་	VERB
ར་	ལ་	PART
སྟོན་པ་	སྟོན་པ་	NOUN
དགོས་འདོད་	དགོས་འདོད་	NOUN
ཀུན་འབྱུང་	ཀུན་འབྱུང་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ཇོ་	ཇོ་	NO_POS
ནང་	ནང་	NOUN
ཏཱ་ར་	ཏཱ་ར་	PROPN
ན་	ལ་	PART
ཐཱ་		NON_WORD
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
བདེ་བ་	བདེ་བ་	VERB
ར་	ལ་	PART
གཤེགས་པ་	གཤེགས་པ་	VERB
འི་	གི་	PART
བསྟན་པ་	བསྟན་པ་	VERB
འི་	གི་	PART
གསལ་བྱེད་	གསལ་བྱེད་	NOUN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
གསུང་རབ་	གསུང་རབ་	NOUN
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
འི་	གི་	PART
མཛོད་	མཛོད་	NOUN
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
བུ་	བུ་	NOUN
སྟོན་	སྟོན་	VERB
རིན་ཆེན་	རིན་ཆེན་	OTHER
གྲུབ་	གྲུབ་	VERB
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
དཔལ་	དཔལ་	OTHER
བཟང་པོ་	བཟང་པོ་	ADJ
འི་	གི་	PART
གསུང་	གསུང་	VERB
ཇི་ལྟ་བ་	ཇི་ལྟ་བ་	ADJ
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
ཡི་གེ་	ཡི་གེ་	NOUN
ར་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
སྐབས་	སྐབས་	NOUN
བརྒྱད་པ་	བརྒྱད་པ་	NUM
འི་	གི་	PART
སྤྱི་དོན་	སྤྱི་དོན་	NOUN
བཞུགས་	བཞུགས་	VERB
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
སྔགས་	སྔགས་	NOUN
ཀྱི་	གི་	PART
བཀླག་	བཀླག་	VERB
ཐབས་	ཐབས་	NOUN
བསྡུས་པ་	བསྡུས་པ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
སྣ་	སྣ་	NOUN
ར་	ལ་	PART
ཐང་	ཐང་	NOUN
ལོ་ཙཱ་བ་	ལོ་ཙཱ་བ་	NOUN
སང་གྷ་	སང་གྷ་	NO_POS
ཤྲཱི་		NON_WORD
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
ན་རོ་	ན་རོ་	PROPN
ཆོ་	ཆོ་	NOUN
དྲུག་	དྲུག་	NUM
གི་	གི་	PART
ཁྲིད་	ཁྲིད་	VERB
དམིགས་	དམིགས་	VERB
ཀྱི་	གི་	PART
བསྡུས་དོན་	བསྡུས་དོན་	NOUN
ཡིད་ཆེས་	ཡིད་ཆེས་	NOUN
གསུམ་	གསུམ་	NUM
ལྡན་	ལྡན་	VERB
གྱི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
གསང་བ་	གསང་བ་	VERB
འི་	གི་	PART
མཛོད་	མཛོད་	NOUN
བརྒྱ་	བརྒྱ་	NUM
འབྱེད་པ་	འབྱེད་པ་	VERB
འི་	གི་	PART
ལྡེ་མིག་	ལྡེ་མིག་	NOUN
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ཤ་	ཤ་	VERB
ཆེན་	ཆེན་	NO_POS
ཡོངས་འཛིན་	ཡོངས་འཛིན་	OTHER
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
སྔགས་	སྔགས་	NOUN
ཀྱི་	གི་	PART
བཀླག་	བཀླག་	VERB
ཐབས་	ཐབས་	NOUN
བསྡུས་པ་	བསྡུས་པ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
སྣ་	སྣ་	NOUN
ར་	ལ་	PART
ཐང་	ཐང་	NOUN
ལོ་ཙཱ་བ་	ལོ་ཙཱ་བ་	NOUN
སགྷ་		NON_WORD
ཤྲཱི་		NON_WORD
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
གྲུབ་མཐའ་	གྲུབ་མཐའ་	NOUN
ཀུན་ཤེས་	ཀུན་ཤེས་	PROPN
ན་	ནས་	PART
མཐའ་བྲལ་	མཐའ་བྲལ་	NOUN
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
བསྟན་བཅོས་	བསྟན་བཅོས་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
སྟག་ཚང་	སྟག་ཚང་	OTHER
ལོ་ཙཱ་བ་	ལོ་ཙཱ་བ་	NOUN
ཤེས་རབ་	ཤེས་རབ་	NOUN
རིན་ཆེན་	རིན་ཆེན་	OTHER
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
དཔལ་	དཔལ་	OTHER
བཟང་པོ་	བཟང་པོ་	ADJ
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
དཔལ་	དཔལ་	OTHER
ས་སྐྱ་པ་	ས་སྐྱ་པ་	PROPN
འི་	གི་	PART
གཅེས་པ་	གཅེས་པ་	VERB
བཏུས་པ་	བཏུས་པ་	VERB
རིན་ཆེན་	རིན་ཆེན་	OTHER
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ས་སྐྱ་	ས་སྐྱ་	PROPN
པནྚི་		NON_WORD
ཏ་	ཏ་	OTHER
ཀུན་དགའ་	ཀུན་དགའ་	PROPN
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
རྣམ་ཐོས་	རྣམ་ཐོས་	PROPN
སྲ་	སྲ་	NOUN
དྲག་	དྲག་	VERB
བྱེད་	བྱེད་	VERB
ཁྲོས་པ་	ཁྲོས་པ་	VERB
འི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
ཚུལ་	ཚུལ་	NOUN
འགྲོ་	འགྲོ་	VERB
བཟང་	བཟང་	VERB
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
ལུགས་	ལུགས་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
བན་	བན་	OTHER
འཁྱམས་	འཁྱམས་	NO_POS
རིན་ཆེན་	རིན་ཆེན་	OTHER
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
དཔང་	དཔང་	NO_POS
ལོ་ཆེན་པོ་	ལོ་ཆེན་པོ་	NOUN
ས་	གིས་	PART
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
གསུམ་	གསུམ་	NUM
གསལ་བ་	གསལ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
།		PUNCT
དཔལ་ལྡན་	དཔལ་ལྡན་	ADJ
བློ་གྲོས་	བློ་གྲོས་	NOUN
བརྟན་པ་	བརྟན་པ་	VERB
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
ཟབ་	ཟབ་	VERB
དོན་	དོན་	NOUN
ཉེ་	ཉེ་	NUM
གཅིག་པ་	གཅིག་པ་	ADJ
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ཏཱ་ར་	ཏཱ་ར་	PROPN
ནཱ་	ནཱ་	NO_POS
ཐ་	ཐ་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
དགྱེས་	དགྱེས་	NO_POS
རྡོ་		
གྱི་	གི་	PART
རྫོགས་རིམ་	རྫོགས་རིམ་	NOUN
ལྷན་ཅིག་	ལྷན་ཅིག་	OTHER
སྐྱེས་པ་	སྐྱེས་པ་	VERB
འི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
བཞུགས་	བཞུགས་	VERB
།		PUNCT
ཏཱ་ར་	ཏཱ་ར་	PROPN
ནཱ་	ནཱ་	NO_POS
ཐ་	ཐ་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
དཔལ་	དཔལ་	OTHER
དུས་	དུས་	NOUN
ཀྱི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
གྱི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
འི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
བཤད་པ་	བཤད་པ་	VERB
བདུད་རྩི་	བདུད་རྩི་	NOUN
འི་	གི་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
གདན་	གདན་	NOUN
བཞི་	བཞི་	NUM
འི་	གི་	PART
ཁྲིད་ཡིག་	ཁྲིད་ཡིག་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྒོ་	སྒོ་	NOUN
འབྱེད་	འབྱེད་	VERB
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
བཞུགས་	བཞུགས་	VERB
།		PUNCT
ཏཱ་ར་	ཏཱ་ར་	PROPN
ནཱ་	ནཱ་	NO_POS
ཐ་	ཐ་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
དཔལ་	དཔལ་	OTHER
གཏུམ་པོ་	གཏུམ་པོ་	ADJ
ཁྲོ་བོ་	ཁྲོ་བོ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
མི་གཡོ་བ་	མི་གཡོ་བ་	NO_POS
བླ་མེད་	བླ་མེད་	ADJ
ཀྱི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
བདུད་	བདུད་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
རྣམ་རྒྱལ་	རྣམ་རྒྱལ་	NOUN
བཞུགས་	བཞུགས་	VERB
།		PUNCT
ཏཱ་ར་	ཏཱ་ར་	PROPN
ནཱ་	ནཱ་	NO_POS
ཐ་	ཐ་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
དཔལ་	དཔལ་	OTHER
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
སྲིད་	སྲིད་	NOUN
གསུམ་	གསུམ་	NUM
འདུལ་	འདུལ་	NO_POS
བྱེད་	བྱེད་	VERB
